Domande,Risposte,response_time,embedding_model,llm_model,retrieval_effectivness,llm_semantic_effectivness,llm_syntax_grammar_effectivness
,"UN). Le ipotesi sulla nascita della mozzarella sono diverse, ma risalgono tutte al Medioevo[19]. Storia[modifica | modifica wikitesto] non cita le fonti necessarie o quelle presenti sono insufficienti migliorare questa voce aggiungendo citazioni da fonti attendibili secondo le linee guida sull'uso delle risorse. Il bufalo mediterraneo italiano di Paestum, da cui viene ricavata la mozzarella, è un bovino, probabilmente autoctono, come dimostra la presenza di un DNA diverso da qualunque altro genere di bufalo[18] asiatico, di corporatura più massiccia, di colore scuro e con peli corti a pelo lungo, abituati a vivere in zone paludose, nel cui fango sono soliti rotolarsi per la salute della propria pelle e per proteggersi dalle eccessive radiazioni solari. Le ipotesi sulla nascita della mozzarella sono diverse, ma risalgono tutte al Medioevo[19].",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,21673.50673675537,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"Italia e il primo nel sud. Viene prodotto nella tipica forma tonda in pezzature che vanno dalla ciliegia alla zizzona, tipica di Battipaglia.",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,7400.724411010742,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Che cosa significa DOP?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"Denominazione di Origine Protetta. Dagli anni Novanta, il riconoscimento della “DOP” (Denominazione di Origine Protetta) garantisce i consumatori e specifica l'area geografica in cui viene prodotto.",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,10795.661926269531,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"Facilmente digeribile, con un ridotto contenuto di zuccheri, colesterolo e lattosio, è anche un'ottima fonte di proteine ​​ad alto valore biologico, a cui si accompagna un moderato apporto di grassi totali e acidi grassi saturi. La mozzarella di bufala campana è particolarmente nutriente: l'apporto energetico è di 288 kcal/100 grammi grazie alla presenza di 16,7 g di proteine, 24,4 g di grassi, pochissimo lattosio (0,4 g%) e una quota di micronutrienti (vitamine e sali minerali). , tra cui meritano menzione calcio (210 mg %) e vitamina B12 (1,7 g %) Calorie 288 Kcal Proteine ​​16,7 g Grassi 24,4 g Colesterolo 56 mg Calcio 210 mg Le caratteristiche della mozzarella di bufala campana DOP[modifica | modifica wikitesto]",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,28827.28815078736,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"non citare le fonti necessarie o quelle presenti sono insufficienti migliorare questa voce aggiungendo citazioni da fonti attendibili secondo le linee guida sull'uso delle risorse. Il bufalo mediterraneo italiano di Paestum, da cui viene ricavata la mozzarella, è un bovino, probabilmente autoctono, come dimostra la presenza di un DNA diverso da qualunque altro genere di bufalo[18] asiatico, di corporatura più massiccia, di colore scuro e con peli corti a pelo lungo, abituati a vivere in zone paludose, nel cui fango sono soliti rotolarsi per la salute della propria pelle e per proteggersi dalle eccessive radiazioni solari. Le ipotesi sulla nascita della mozzarella sono diverse, ma risalgono tutte al Medioevo[19].",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,17185.98699569702,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"4,2 litri. Non è necessario aggiungere ulteriori informazioni o elementi riguardanti la genuinità e il gusto del pregiato latticino, conosciuto anche come “oro bianco”",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,5552.06823348999,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"Se non espressamente indicato, tutti i diritti di sfruttamento e di utilizzazione economica del materiale fotografico presente sul sito Cookist sono da intendersi di proprietà del fornitore Getty Images. privacy policy cookie policy comitato di redazione modifica del consenso 12 agosto 2022 15:00",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,7865.801811218262,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,Utilizzando i seguenti strumenti: un esperto di formaggi. B. Un vero esperto. C. Il costo della mozzarella. D. Quanto dovrebbe costare la mozzarella e i trucchi per sceglierla secondo un vero esperto.,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,9250.116109848022,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"- Helpful (italiano: ""Mozzarella di Bufala Dop""), ""Helpful"" (italiano: ""Buffala Dop""), ""Anchore della Mozzeria""",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,12797.089338302612,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,"SELEZIONA CONTEGGIO Preparazione[modifica | modifica wikitesto] Questo formaggio è prodotto solo con latte fresco intero di bufala di razza mediterranea italiana. Gli animali devono essere registrati all'anagrafe e sono allevati secondo le consuetudini locali in stabulazione semilibera, al pascolo aperto.",,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
,,11172.229766845703,sentence-transformers/all-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,1,1
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"Il bufalo mediterraneo italiano di Paestum, da cui viene prodotta la mozzarella, è un bovino, probabilmente autoctono, come dimostrato dalla presenza di un DNA diverso da qualsiasi altro tipo di bufalo",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,19037.713050842285,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"La Campania DOP è stata prodotta nel 2022[6] Nord Ovest (34,9%), mentre circa un terzo dell'export è stato assorbito dalla Francia (33%).",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,16478.060483932495,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Che cosa significa DOP?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,Denominazione di Origine Protetta) garantisce il consumatore e specifica la zona geografica in cui è prodotto. Denominazione di origine[modifica | modifica wikitesto],,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,21827.48055458069,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"Facilmente digeribile, con un ridotto contenuto di zuccheri, colesterolo e lattosio, è anche un'ottima fonte di proteine ​​ad alto valore biologico, a cui si accompagna un moderato apporto di grassi totali e acidi grassi saturi",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,24643.271446228027,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"L'epoca d'oro della mozzarella di bufala risale al Settecento, con i Borboni e la nascita della Real Tenuta di Carditello. Il re fondò qui un grande allevamento di bufali, insieme a quello che è considerato il primo caseificio sperimentale",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,22255.867958068848,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"4,2 litri. La risposta: 4,2 litri. (Razza Mediterranea Italiana) Latte di bufala di razza Mediterranea Italiana, ricco di grassi e proteine.",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,16842.937231063843,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"sotto i 12 euro in Campania e sotto i 16 nel resto d'Italia, la mozzarella potrebbe presentare problemi di qualità. Così dice Paolo Amato, uno dei mastri casari più stimati d'Italia, che ci dà anche qualche consiglio su come scegliere la mozzarella senza incappare in truffe.",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,26914.8542881012,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"Le differenze di peso e di stile Un altro mito sta nella temperatura: secondo molti vecchi casari la mozzarella, pur essendo un prodotto estivo, è più buona d'inverno perché il latte vaccino è più buono.",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,19787.511110305782,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"Panzerotto con mozzarella di bufala, pomodoro e olive di Gaeta La mozzarella di bufala è l'ingrediente che semplicemente non può mancare se si vuole rendere appetitoso un panzerotto. Lo ha utilizzato lo chef Stefano De Gregorio...",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,32900.04897117615,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,"latte fresco intero di bufala di razza mediterranea italiana. Gli animali devono essere registrati all'anagrafe e sono allevati secondo le consuetudini locali in stabulazione semilibera, al pascolo aperto",,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
,,31509.83762741089,sentence-transformers/all-mpnet-base-v2,flan-t5-large,0,0,0
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"La mozzarella di bufala è originaria della Campania, Italia. È un formaggio popolare della regione ed è in circolazione da secoli grazie al suo profilo aromatico unico che lo rende una scelta ideale come condimento o spalmato su piatti di pasta come le lasagne con salsa di bufala sopra gli spaghetti.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,27678.775548934937,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"La mozzarella di bufala è prodotta in Campania. Inoltre è prodotto con latte fresco intero di bufala della razza mediterranea italiana e può essere trovato in una varietà di località tra cui Capodimonte (Spagna), Salerno sulla costa del Cilento, Pienza-Pisanonto vicino a Roma, il villaggio di Genovesesh intorno a Milano o Torino; è stato utilizzato per secoli come ingrediente per preparare primi piatti come la pizza al sugo che comprende entrambe le varietà di formaggio come la Mozzarella di Parma e i Parmigianelli, molto apprezzati nei ristoranti locali.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,36726.73606872559,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Che cosa significa DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"DOP sta per Prodotto Biologico Delicato. È un tipo di mozzarella che è stata conservata nel suo stesso liquido, che aiuta a preservarne il sapore e la consistenza mantenendola fresca più a lungo rispetto ad altri tipi di prodotti lattiero-caseari come latte o alternative a base di butterscotch come la margarina o la crema di amido di mais con aggiunta ingredienti zuccherini.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,22320.622205734253,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"La mozzarella di bufala campana DOP è particolarmente nutriente per la presenza di 16,7 g di proteine, 24,4 g di grassi e pochissimo lattosio.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,28457.794666290283,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"La storia della mozzarella di bufala risale al XVIII secolo. Si ritiene che sia stato introdotto in Italia da un re di Carditello e poi portato dalla Sicilia, dove furono rinvenute le sue origini originarie, prima di essere importato in tutta Europa attraverso la Francia o la Germania.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,24208.252668380737,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"Per produrre un kg (chilo) di mozzarella sono necessari circa 4,2 litri di latte. Questo perché la quantità utilizzata per produrre il formaggio di bufala dipende dal tipo e dalle dimensioni, ma può variare a seconda della tua provenienza o del tipo di latticini che la tua famiglia consuma più spesso.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,23163.44928741455,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"Il prezzo giusto per una pizza margherita con mozzarella si aggira sui 12 euro in Campania e sui 16 euro in generale. Ciò include il costo degli ingredienti, dei materiali di imballaggio (come il formaggio), del tempo/temperatura di cottura, ecc.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,22500.625371932983,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,La mozzarella di qualità è prodotta con latte fresco intero di bufala di razza mediterranea italiana. Ha una copertura liscia e lucida che permette al sale di penetrare uniformemente nei primi piatti come le lasagne o le salse per la pizza.,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,16879.807233810425,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,"Non lo so. Può essere utilizzato in una varietà di piatti, come insalate di pasta e pizza con verdure o ragù di carne per un pasto all'italiana come le lasagne.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,16596.14586830139,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,La mozzarella di bufala campana DOP è prodotta con latte fresco intero di bufala di razza mediterranea italiana. Gli animali devono essere iscritti all'anagrafe e allevati secondo le consuetudini locali al pascolo all'aperto per un periodo minimo prima di essere macellati o trasformati manualmente in formaggio utilizzando metodi tradizionali come stendere la pasta su un forno a piano inclinato finché non si ammorbidisce e poi viene trasferita su taglieri di legno dove possono riposare durante la notte mentre i loro corpi si raffreddano durante i periodi di raffreddamento (di solito tra 24 ore e 48 giorni).,,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
,,36463.72652053833,sentence-transformers/msmarco-distilbert-dot-v5,flan-alpaca-large,0,0,0
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,"Origini Luogo di origine - Italia Regione Campania Zona di produzione Tutti i comuni delle province di Caserta e Salerno; Alcuni comuni delle città metropolitane di Napoli e Roma e delle province di Benevento, Latina, Frosinone, Foggia e Isernia.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,11132.411241531372,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,UN). (B). Casertano e in provincia di Salerno alle porte del Cilento. (C). Mozzarella di bufala,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,5180.544376373291,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Che cosa significa DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,"Osservatorio economico: i numeri della bufala Dop, su mozzarelladop.it. La risposta: utile. (DOP) è una parola che significa utile.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,4833.351850509644,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,"Facilmente digeribile, con un ridotto contenuto di zuccheri, colesterolo e lattosio, è anche un'ottima fonte di proteine ​​ad alto valore biologico, a cui si accompagna un moderato apporto di grassi totali e acidi grassi saturi.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,12360.606908798218,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,Storia della mozzarella di bufala Home » Blog » Storia della mozzarella di bufala Storia della mozzarella di bufala Maria Grazia Tortora 2018-02-05T20:41:43+01:00 Allevamenti di mozzarella e bufala,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,7000.316619873047,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,"4,2 litri. (Risposta: A). Quindi la risposta finale è 4,2 litri. La risposta corretta dipende dal contesto della domanda.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,7229.623079299927,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,"una tazzina di caffè costava secondo gli esperti le ciliegie o il succo d'arancia, arrivare a un era permesso partire dopo mesi."". "" Leggi anche Quanto dovrebbe costare secondo gli esperti una tazzina di caffè le ciliegie o il succo d'arancia, arrivare a un era permesso di andarsene dopo mesi.""",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,8415.63081741333,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,. La mozzarella di bufala è così buona che è più di un prodotto. Il miracolo è la mozzarella in genere cioè sembra quasi strano che madre natura non l'abbia creata.,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,5518.330097198486,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,"https://www.mozzarelladop.it/ Mozzarella di Bufala Campana DOP, su afidop.it",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,7895.657539367676,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
